,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
30,637185,Rental unit in Dublin · ★4.50 · 1 bedroom · 1 bed · 1 bath,3177950,Justin,D07,Dublin City,53.34675,-6.27552,Entire home/apt,112,7,158,2018-10-13,1.22,1,0,0,
31,641880,Rental unit in Dublin · ★4.53 · 1 bedroom · 1 bed · 1 bath,3207141,Hazel,D08,Dublin City,53.34427,-6.28322,Private room,85,2,46,2016-09-19,0.43,2,0,0,
32,654589,Condo in Dublin · ★4.77 · 2 bedrooms · 3 beds · 1 bath,3244025,Garrett,D08,Dublin City,53.34493,-6.26688,Entire home/apt,274,3,582,2023-06-05,4.44,2,217,56,
33,690119,Cottage in Dundrum · ★4.90 · 2 bedrooms · 2 beds · 2 baths,3525420,Sarah,D14,Dn Laoghaire-Rathdown,53.29448,-6.24686,Entire home/apt,360,4,219,2023-06-07,1.8,1,135,7,
34,726011,Rental unit in Skerries · ★4.92 · 1 bedroom · 2 beds · 1.5 baths,3755932,Valerie,K34,Fingal,53.58179,-6.12118,Entire home/apt,126,3,189,2023-05-09,1.6,1,147,29,
35,726075,Townhouse in Dublin · ★4.33 · 3 bedrooms · 5 beds · 3.5 baths,3756388,Mary,D09,Dublin City,53.36973,-6.25788,Entire home/apt,250,21,3,2017-09-02,0.03,1,7,0,
36,736827,Rental unit in Dublin · ★4.71 · 2 bedrooms · 1 bed · 1.5 baths,3846772,Sag,D01,Dublin City,53.34845,-6.24015,Entire home/apt,116,7,8,2023-03-02,0.07,19,0,1,
37,736848,Rental unit in Dublin · ★4.86 · 2 bedrooms · 2 beds · 2 baths,3846772,Sag,D01,Dublin City,53.34835,-6.24041,Entire home/apt,108,7,7,2023-05-02,0.07,19,0,2,
38,742656,Rental unit in Dublin · ★4.58 · 1 bedroom · 1 bed · Shared half-bath,3888023,Daragh,D02,Dublin City,53.33387,-6.26429,Private room,75,2,414,2023-05-29,3.64,1,135,63,
39,743771,Bed and breakfast in Dublin · 1 bedroom · 1 bed · 1 private bath,3897306,Bernie,D09,Dublin City,53.36698,-6.26888,Private room,75,2,0,,,2,0,0,
40,743772,Bed and breakfast in Dublin · ★4.75 · 1 bedroom · 1 bed · 1 private bath,3897306,Bernie,D09,Dublin City,53.36721,-6.26704,Private room,140,2,5,2022-06-05,0.04,2,0,0,
41,747284,Condo in Dublin · ★4.97 · 2 bedrooms · 1 bed · 1.5 baths,1626936,James P  ( J.P),D14,Dn Laoghaire-Rathdown,53.29505,-6.23371,Entire home/apt,229,15,39,2022-09-16,0.31,1,248,4,
42,871174,Home in Clontarf · ★4.50 · 1 bedroom · 2 beds · 1 shared bath,4592908,Louise,D03,Dublin City,53.3678,-6.20609,Private room,59,1,276,2023-06-08,2.21,3,14,37,
43,872539,Cottage in Dublin · ★4.82 · 2 bedrooms · 2 beds · 1 bath,4603565,Aida,D03,Dublin City,53.35789,-6.23813,Entire home/apt,300,3,136,2023-06-04,1.09,1,244,25,
44,922425,Townhouse in Dublin · ★4.79 · 2 bedrooms · 2 beds · 1 bath,1607393,Daragh,D08,Dublin City,53.34202,-6.27351,Entire home/apt,266,2,132,2023-01-02,1.07,2,3,6,
45,928970,Boat in Dublin · ★4.81 · 1 bedroom · 3 beds · 1 bath,5001093,Trish,D02,Dublin City,53.34096,-6.23917,Entire home/apt,165,2,37,2020-03-09,0.31,2,0,0,
